Key,Source,Context,Changes,English,French,German,Klingon,Spanish
bonus,,Category,KgNone,Bônus,Bonus,Bonus,,Bonos
challenge,,Category,KgNone,Desafio,Défi,Herausforderung,,Desafío
quest,,Category,KgNone,Missão,Quête,Quest,,Misión
questChain,,Category,KgNone,Missão Adicional,Série de quêtes,Questserie,,Cadena de misiones
treasure,,Category,KgNone,Tesouro,Trésor,Schatz,,Tesoros
challenge_buythefarm,,Challenge Info,KgNone,A Fazenda,La ferme,Tierisch gut,,Compra la granja
challenge_buythefarm_offer,,Challenge Info,EnChanged KgNone,"Bem Sobrevivente,\nEu acho que você encontrou a nota que deixamos para você. Agora que o segredo foi revelado, vamos ao que interessa. Estivemos observando você e acho que pode se tornar um bom recruta. Mas antes de abrir as nossas portas para um desconhecido, vamos ver se você pode fazer este simples trabalho.\nSlick Willie\n\nDesafio: Matar alguns Animais","Alors la terreur,\nFaut croire que tu as trouvé le message qu'on t'a laissé. Ça, c'est fait, passons aux choses sérieuses. Après avoir vu ce dont tu es capable, on trouve que tu ferais une bonne recrue. Mais avant qu'on t'accepte, voyons si tu peux faire un truc aussi simple que cette tâche.\n\nWillie le plus rusé des merdeux\n\nDéfi : tuer des animaux","Also gut, Überlebender!\nDu hast wohl die Notiz gefunden, die wir für dich hinterlassen haben. Jetzt da die Katze aus dem Sack ist, können wir gleich zum Punkt kommen. Wir haben dich beobachtet und denken, dass du ein guter Rekrut wärst. Doch bevor wir einen Fremden aufnehmen, müssen wir erst sehen, ob du diese einfache Aufgabe erledigen kannst.\n\nIch bin glatter als Katzenscheiße auf Linoleum … Willie\n\nHerausforderung: Töte ein paar Tiere",,"Bueno, sobreviviente:\nCreo que has encontrado la nota que te dejé. Ahora que ya se descubrió el pastel, vamos a lo que nos va. Te hemos estado siguiendo y creemos que puedes ser un buen recluta. Pero antes de abrirle las puertas a un extraño, veamos si puedes hacer un trabajillo muy simple.\n\nWillie, más escurridizo que una mierda de gato en linóleo.\n\nDesafío: Mata a un par animales."
challenge_buythefarm_subtitle,,Challenge Info,KgNone,Matar alguns Animais,Tuer des animaux,Töte ein paar Tiere,,Mata a un par animales.
challenge_copanattitude,,Challenge Info,KgNone,Um Tira da Pesada,Filature,Dein Freund und Helfer,,Siempre llevando la contra
challenge_copanattitude_offer,,Challenge Info,KgNone,"Viajante,\nO fato de você está lendo esta nota não é por acaso. Meus rapazes estão te observando e estamos sempre procurando por novos recrutas que ainda estão vivendo por aí. Mas antes nos tornarmos camaradas, gostaríamos que você faça esta pequena coisa para vermos do que você é feito.\nEles me chamam de Crazy Jake\n\nDesafio: Matar alguns policiais zumbis","Salut la compagnie,\nSi tu lis ce message, ce n'est pas par hasard. Ça fait quelque temps qu'on t'observe, mes gars et moi. On cherche toujours de nouvelles recrues parmi les vivants. Mais avant qu'on se serre la pince, on voudrait que tu nous montres de quoi tu es capable.\n\nJake le cinglé, comme on m'appelle\n\nDéfi : tuer des flics zombies","Hallo Reisender!\nEs ist kein Zufall, dass du diese Notiz liest. Meine Jungs haben dich beobachtet und wir sind immer auf der Suche nach neuen Rekruten, die noch nicht das Zeitliche gesegnet haben. Aber bevor wir hier einen auf Kumpel machen, musst du diese Kleinigkeit erledigen, um zu zeigen, was du draufhast.\n\nMan nennt mich Crazy Jake\n\nHerausforderung: Töte ein paar Zombie-Polizisten",,"Viajero/a:\nEl que estés leyendo esta nota no es cosa del destino. Mis chicos te han estado observando. Siempre estamos en busca de reclutas nuevos que todavía tengan algo de vida en sus carnes. Pero antes de hacernos amigos, queremos que hagas algo para ver de qué estás hecho.\n\nMe llaman Jake el Loco.\n\nDesafío: Mata a zombis policía."
challenge_copanattitude_subtitle,,Challenge Info,KgNone,Matar alguns Policiais Zumbis,Tuer des flics zombies,Töte ein paar Zombie-Polizisten,,Mata a Zombis Policía.
challenge_dogdaysareover,,Challenge Info,KgNone,Os Dias de Cão Acabaram,Un mal de chien,Wir gehen nicht vor die Hunde,,Adiós a los días de perro
challenge_dogdaysareover_offer,,Challenge Info,KgNone,"Muito Bem Recruta,\nEssa nota é um convite pessoal para se juntar ao nosso clã. Estamos te seguindo e analisando o seu potencial. Faça esse trabalho e iremos pensar em te deixar entrar. Vamos ver se você é forte o suficiente para matar alguns cachorros zumbis.\n\nEu sou o Crazy Jake, porra\n\nDesafio: Matar alguns cachorros zumbis","Félicitations recrue,\nCe message est une invitation à rejoindre notre clan. On te suit depuis un moment et tu as du potentiel. Fais ce petit boulot et on te laissera peut-être nous rejoindre. Voyons si tu as le cran de tuer des chiens enragés.\n\nJe suis Jake, le foutrement cinglé\n\nDéfi : tuer des chiens enragés","Gratuliere Rekrut!\nDiese Notiz ist eine persönliche Einladung, unserem Klan beizutreten. Wir haben dich beobachtet und dein Potenzial erkannt. Erledige diese Aufgabe und wir überlegen uns, dich aufzunehmen. Mal sehen, ob du stark genug bist, um ein paar Zombie-Hunde zu töten.\n\nIch bin der verdammte Crazy Jake\n\nHerausforderung: Töte ein paar Zombie-Hunde",,"Felicitaciones, recluta:\nEsta nota es una invitación personal para que te unas a nuestro clan. Te hemos estado siguiendo y parece que tienes potencial. Termina este trabajito y tal vez consideremos dejar que te unas a nosotros. Veamos si eres lo suficientemente fuerte como para matar algunos perros zombi.\n\nSoy el maldito Jake el Loco.\n\nDesafío: Mata a perros zombi."
challenge_dogdaysareover_subtitle,,Challenge Info,KgNone,Matar alguns Cachorros Zumbis,Tuer des chiens enragés,Töte ein paar Zombie-Hunde,,Mata a Perros Zombi.
challenge_dontfeedthebears,,Challenge Info,KgNone,Não Alimente os Ursos,Ours mal léché,Bärenhunger,,No alimente a los osos
challenge_dontfeedthebears_offer,,Challenge Info,EnChanged KgNone,"Olá Amigo,\nA menos que você tenha merda na cabeça, você provavelmente sabe que nós estamos te seguindo. Brincadeiras à parte, deixe-me ir direto ao ponto. Nós queremos que você se junte aos Willies mas primeiro você tem que passar deste teste para nós te avaliarmos.\n\nSlick Willie\n\nDesafio: Matar alguns Ursos","Salut camarade,\nÀ moins que tu aies de la merde à la place de la cervelle, tu sais qu'on te suit depuis un moment. Après ces politesses, venons-en au fait. On aimerait que tu rejoignes le clan de Willie, mais tu dois réussir notre initiation avant qu'on puisse l'envisager.\n\nWillie le rusé foutrement pervers\n\nDéfi : tuer des ours","Hallihallo Freund!\nWenn dir nicht jemand ins Hirn geschissen hat, weißt du wahrscheinlich schon, dass wir dich beobachtet haben. Jetzt da wir die nötigen Höflichkeiten ausgetauscht haben, komme ich gleich zum Punkt. Wir möchten, dass du den Willies beitrittst, aber zuerst musst du diese Prüfung bestehen, damit wir dich vielleicht aufnehmen.\n\nGlatter als ein Fischschwanz … Willie\n\nHerausforderung: Töte ein paar Bären",,"Qué hay, amigo/a:\nA menos que tengas un cerebro de mierda, probablemente sabes que te estamos siguiendo. Ya que terminamos con las cortesías, vayamos al grano. Queremos que te unas a los Willies, pero antes tienes que pasar un rito de iniciación para siquiera considerarte.\n\nWillie, escurridizo cual pinga de pececillo.\n\nDesafío: Mata a un par osos."
challenge_dontfeedthebears_subtitle,,Challenge Info,KgNone,Matar Ursos,Tuer des ours,Töte Bären,,Mata a osos.
challenge_drunkanddisorderly,,Challenge Info,KgNone,Bêbado e Encrenqueiro,Bagarre d'ivrogne,Dicht und dichter,,Embriaguez y escándalo
challenge_drunkanddisorderly_offer,,Challenge Info,KgNone,"Ouça seu Vagabundo,\nSe você chegou a encontrar essa nota, então saiba disso. Nós estamos te observando. Você é muito esperto, mas vamos ver se você pode fazer esta tarefa e talvez você possa se juntar o nosso pequeno grupo de sobreviventes alegres.\n\nCrazy é o menu nome do meio...Jake\n\nDesafio: Matar alguns zumbis na porrada enquanto está bêbado","Écoute un peu,\nSi tu as ce message entre les mains, tu le sais déjà. On te surveille. Tu es assez habile, mais voyons si tu réussis cette tâche. On verra ensuite si tu peux rejoindre notre joyeuse bande de survivants.\n\nJake, surnommé le cinglé...\n\nDéfi : tuer des zombies à mains nues en étant ivre","Pass mal auf, du!\nWenn du im Besitz dieser Notiz bist, dann ist eines sicher: Wir beobachten dich. Du bist ja ganz clever, aber mal sehen, ob du diese Aufgabe erledigen kannst. Und vielleicht darfst du dich dann unserer kleinen Gruppe fröhlicher Überlebender anschließen.\n\nCrazy ist mein zweiter Vorname … Jake\n\nHerausforderung: Töte betrunken ein paar Zombies mit deinen Fäusten",,"Oye, tú:\nSi tienes esta nota, entonces debes saberlo. Te hemos estado vigilando. Eres muy hábil, pero vamos a ver si puedes hacer esto. Si lo haces, quizás te dejemos unirte a nuestra pequeña banda de alegres sobrevivientes.\n\nLoco es mi segundo nombre... Jake.\n\nDesafío: Mata zombis a puñetazos mientras estás borracho."
